1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Minneapolis Lakers,Rochester Royals,Minneapolis Lakers,Minneapolis Lakers,Minneapolis Lakers,Syracuse Nationals,Philadelphia Warriors,Boston Celtics,St. Louis Hawks,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,Philadelphia 76ers,Boston Celtics,Boston Celtics,New York Knicks,Milwaukee Bucks,Los Angeles Lakers,New York Knicks,Boston Celtics,Golden State Warriors,Boston Celtics,Portland Trail Blazers,Washington Bullets,Seattle SuperSonics,Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Philadelphia 76ers,Boston Celtics,Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,Detroit Pistons,Detroit Pistons,Chicago Bulls,Chicago Bulls,Chicago Bulls,Houston Rockets,Houston Rockets,Chicago Bulls,Chicago Bulls,Chicago Bulls,San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Miami Heat,San Antonio Spurs,Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,Dallas Mavericks,Miami Heat,Miami Heat,San Antonio Spurs,Golden State Warriors,Cleveland Cavaliers,Golden State Warriors,Golden State Warriors,Toronto Raptors,Los Angeles Lakers,Milwaukee Bucks,Golden State Warriors,Denver Nuggets,Boston Celtics
Syracuse Nationals,New York Knicks,New York Knicks,New York Knicks,Syracuse Nationals,Fort Wayne Pistons,Fort Wayne Pistons,St. Louis Hawks,Boston Celtics,Minneapolis Lakers,St. Louis Hawks,Los Angeles Lakers,Los Angeles Lakers,Cincinnati Royals,St. Louis Hawks,Philadelphia 76ers,Los Angeles Lakers,San Francisco Warriors,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Baltimore Bullets,New York Knicks,Los Angeles Lakers,Milwaukee Bucks,Washington Bullets,Phoenix Suns,Philadelphia 76ers,Seattle SuperSonics,Phoenix Suns,Philadelphia 76ers,Houston Rockets,Philadelphia 76ers,Los Angeles Lakers,Los Angeles Lakers,Boston Celtics,Houston Rockets,Boston Celtics,Detroit Pistons,Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,Phoenix Suns,New York Knicks,Orlando Magic,Seattle SuperSonics,Utah Jazz,Utah Jazz,New York Knicks,Indiana Pacers,Philadelphia 76ers,New Jersey Nets,New Jersey Nets,Los Angeles Lakers,Detroit Pistons,Dallas Mavericks,Cleveland Cavaliers,Los Angeles Lakers,Orlando Magic,Boston Celtics,Miami Heat,Oklahoma City Thunder,San Antonio Spurs,Miami Heat,Cleveland Cavaliers,Golden State Warriors,Cleveland Cavaliers,Cleveland Cavaliers,Golden State Warriors,Miami Heat,Phoenix Suns,Boston Celtics,Miami Heat,Dallas Mavericks
Anderson Packers,Syracuse Nationals,Rochester Royals,Fort Wayne Pistons,Rochester Royals,Boston Celtics,St. Louis Hawks,Minneapolis Lakers,Detroit Pistons,Syracuse Nationals,Minneapolis Lakers,St. Louis Hawks,Philadelphia Warriors,Los Angeles Lakers,San Francisco Warriors,Baltimore Bullets,St. Louis Hawks,St. Louis Hawks,Philadelphia 76ers,New York Knicks,Milwaukee Bucks,New York Knicks,Milwaukee Bucks,Boston Celtics,New York Knicks,Chicago Bulls,Golden State Warriors,Houston Rockets,Denver Nuggets,Washington Bullets,Seattle SuperSonics,Philadelphia 76ers,Boston Celtics,San Antonio Spurs,Phoenix Suns,Denver Nuggets,Los Angeles Lakers,Detroit Pistons,Dallas Mavericks,Chicago Bulls,Chicago Bulls,Portland Trail Blazers,Cleveland Cavaliers,Seattle SuperSonics,Indiana Pacers,Indiana Pacers,Utah Jazz,Houston Rockets,Indiana Pacers,Indiana Pacers,Portland Trail Blazers,Milwaukee Bucks,Sacramento Kings,Dallas Mavericks,Indiana Pacers,Miami Heat,Detroit Pistons,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,Orlando Magic,Chicago Bulls,Boston Celtics,Indiana Pacers,Indiana Pacers,Houston Rockets,Oklahoma City Thunder,Boston Celtics,Boston Celtics,Milwaukee Bucks,Boston Celtics,Atlanta Hawks,Miami Heat,Boston Celtics,Minnesota Timberwolves
Indianapolis Olympians,Minneapolis Lakers,Syracuse Nationals,Boston Celtics,Boston Celtics,Minneapolis Lakers,Syracuse Nationals,Syracuse Nationals,Philadelphia Warriors,St. Louis Hawks,Philadelphia Warriors,Syracuse Nationals,Detroit Pistons,St. Louis Hawks,Cincinnati Royals,Los Angeles Lakers,Cincinnati Royals,Boston Celtics,San Francisco Warriors,Atlanta Hawks,Atlanta Hawks,Los Angeles Lakers,Boston Celtics,Golden State Warriors,Chicago Bulls,Boston Celtics,Cleveland Cavaliers,Boston Celtics,Philadelphia 76ers,San Antonio Spurs,Boston Celtics,Kansas City Kings,San Antonio Spurs,Milwaukee Bucks,Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,Seattle SuperSonics,Boston Celtics,Phoenix Suns,Phoenix Suns,Detroit Pistons,Utah Jazz,New York Knicks,Utah Jazz,San Antonio Spurs,Orlando Magic,Miami Heat,Los Angeles Lakers,Portland Trail Blazers,New York Knicks,San Antonio Spurs,Boston Celtics,Detroit Pistons,Minnesota Timberwolves,Phoenix Suns,Phoenix Suns,Utah Jazz,San Antonio Spurs,Denver Nuggets,Phoenix Suns,Oklahoma City Thunder,San Antonio Spurs,Memphis Grizzlies,Oklahoma City Thunder,Atlanta Hawks,Toronto Raptors,San Antonio Spurs,Houston Rockets,Portland Trail Blazers,Denver Nuggets,Los Angeles Clippers,Dallas Mavericks,Los Angeles Lakers,Indiana Pacers
New York Knicks,Fort Wayne Pistons,Boston Celtics,Rochester Royals,Fort Wayne Pistons,New York Knicks,Boston Celtics,Fort Wayne Pistons,Syracuse Nationals,Detroit Pistons,Syracuse Nationals,Detroit Pistons,Syracuse Nationals,Syracuse Nationals,Los Angeles Lakers,Cincinnati Royals,Philadelphia 76ers,Cincinnati Royals,Detroit Pistons,San Diego Rockets,Baltimore Bullets,Chicago Bulls,Atlanta Hawks,Chicago Bulls,Capital Bullets,Seattle SuperSonics,Buffalo Braves,Golden State Warriors,Milwaukee Bucks,Atlanta Hawks,Milwaukee Bucks,Milwaukee Bucks,Seattle SuperSonics,Denver Nuggets,New York Knicks,Detroit Pistons,Philadelphia 76ers,Milwaukee Bucks,Atlanta Hawks,New York Knicks,San Antonio Spurs,Boston Celtics,Boston Celtics,Houston Rockets,Chicago Bulls,New York Knicks,San Antonio Spurs,New York Knicks,Charlotte Hornets,Utah Jazz,Miami Heat,Charlotte Hornets,Charlotte Hornets,Sacramento Kings,New Jersey Nets,Dallas Mavericks,Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,Memphis Grizzlies,Philadelphia 76ers,Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,Miami Heat,Washington Wizards,New Orleans Pelicans,Denver Nuggets,Los Angeles Clippers,Brooklyn Nets,Milwaukee Bucks,Philadelphia 76ers,Denver Nuggets
Fort Wayne Pistons,Indianapolis Olympians,Philadelphia Warriors,Baltimore Bullets,New York Knicks,Rochester Royals,Minneapolis Lakers,Philadelphia Warriors,Cincinnati Royals,New York Knicks,Detroit Pistons,Philadelphia Warriors,Cincinnati Royals,Detroit Pistons,Philadelphia 76ers,St. Louis Hawks,Baltimore Bullets,New York Knicks,New York Knicks,San Francisco Warriors,Phoenix Suns,Philadelphia 76ers,Baltimore Bullets,Atlanta Hawks,Detroit Pistons,Buffalo Braves,Detroit Pistons,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,Phoenix Suns,Phoenix Suns,Washington Bullets,Portland Trail Blazers,New Jersey Nets,Portland Trail Blazers,Dallas Mavericks,Houston Rockets,Utah Jazz,Golden State Warriors,Los Angeles Lakers,Golden State Warriors,New York Knicks,San Antonio Spurs,Denver Nuggets,Phoenix Suns,Atlanta Hawks,Seattle SuperSonics,New York Knicks,Atlanta Hawks,Philadelphia 76ers,Toronto Raptors,Dallas Mavericks,Los Angeles Lakers,Sacramento Kings,Indiana Pacers,Los Angeles Clippers,New Jersey Nets,New Orleans Hornets,Houston Rockets,Atlanta Hawks,Atlanta Hawks,Indiana Pacers,New York Knicks,Washington Wizards,Chicago Bulls,San Antonio Spurs,Houston Rockets,Philadelphia 76ers,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,Phoenix Suns,Golden State Warriors,New York Knicks
Sheboygan Red Skins,Boston Celtics,Fort Wayne Pistons,Indianapolis Olympians,,,,,,,,,,,,,,Chicago Bulls,St. Louis Hawks,Philadelphia 76ers,Chicago Bulls,Atlanta Hawks,Golden State Warriors,Milwaukee Bucks,Buffalo Braves,Houston Rockets,Washington Bullets,Washington Bullets,Portland Trail Blazers,Los Angeles Lakers,Houston Rockets,San Antonio Spurs,Milwaukee Bucks,Boston Celtics,Utah Jazz,Utah Jazz,Denver Nuggets,Atlanta Hawks,Denver Nuggets,Milwaukee Bucks,New York Knicks,Philadelphia 76ers,Phoenix Suns,Charlotte Hornets,Phoenix Suns,Chicago Bulls,New York Knicks,Atlanta Hawks,San Antonio Spurs,Los Angeles Lakers,Phoenix Suns,Dallas Mavericks,Detroit Pistons,Philadelphia 76ers,Miami Heat,Seattle SuperSonics,San Antonio Spurs,Phoenix Suns,Utah Jazz,Dallas Mavericks,San Antonio Spurs,Boston Celtics,Los Angeles Lakers,Chicago Bulls,Brooklyn Nets,Memphis Grizzlies,Portland Trail Blazers,Toronto Raptors,Utah Jazz,Houston Rockets,Houston Rockets,Utah Jazz,Memphis Grizzlies,New York Knicks,Oklahoma City Thunder
Tri-Cities Blackhawks,Philadelphia Warriors,Indianapolis Olympians,Syracuse Nationals,,,,,,,,,,,,,,Los Angeles Lakers,Chicago Bulls,Baltimore Bullets,Philadelphia 76ers,San Francisco Warriors,Chicago Bulls,Baltimore Bullets,Los Angeles Lakers,Kansas City-Omaha Kings,Seattle SuperSonics,Denver Nuggets,San Antonio Spurs,Denver Nuggets,Atlanta Hawks,Chicago Bulls,Phoenix Suns,New York Knicks,Dallas Mavericks,Milwaukee Bucks,Atlanta Hawks,Golden State Warriors,Chicago Bulls,Seattle SuperSonics,Philadelphia 76ers,Utah Jazz,Seattle SuperSonics,Cleveland Cavaliers,Atlanta Hawks,Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Seattle SuperSonics,Philadelphia 76ers,Utah Jazz,Sacramento Kings,San Antonio Spurs,Boston Celtics,San Antonio Spurs,Washington Wizards,New Jersey Nets,Golden State Warriors,Orlando Magic,Atlanta Hawks,Utah Jazz,Los Angeles Lakers,Los Angeles Clippers,Oklahoma City Thunder,Portland Trail Blazers,Washington Wizards,Atlanta Hawks,Utah Jazz,Toronto Raptors,Boston Celtics,Milwaukee Bucks,Denver Nuggets,Philadelphia 76ers,Phoenix Suns,Cleveland Cavaliers
Chicago Stags,,,,,,,,,,,,,,,,,,,,,,,,,Detroit Pistons,Milwaukee Bucks,Chicago Bulls,Los Angeles Lakers,Kansas City Kings,Kansas City Kings,Los Angeles Lakers,Denver Nuggets,Atlanta Hawks,Atlanta Hawks,Houston Rockets,Washington Bullets,Philadelphia 76ers,Cleveland Cavaliers,Atlanta Hawks,Boston Celtics,Atlanta Hawks,Detroit Pistons,Los Angeles Clippers,Miami Heat,Utah Jazz,Indiana Pacers,Detroit Pistons,Houston Rockets,Detroit Pistons,Milwaukee Bucks,New York Knicks,Indiana Pacers,Orlando Magic,New Orleans Hornets,Boston Celtics,Los Angeles Lakers,Houston Rockets,Atlanta Hawks,Chicago Bulls,Milwaukee Bucks,New Orleans Hornets,Denver Nuggets,Brooklyn Nets,Atlanta Hawks,San Antonio Spurs,Charlotte Hornets,Los Angeles Clippers,Indiana Pacers,San Antonio Spurs,Oklahoma City Thunder,Dallas Mavericks,Minnesota Timberwolves,Sacramento Kings,Orlando Magic
Philadelphia Warriors,,,,,,,,,,,,,,,,,,,,,,,,,New York Knicks,Philadelphia 76ers,Cleveland Cavaliers,Atlanta Hawks,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Houston Rockets,Phoenix Suns,Denver Nuggets,San Antonio Spurs,Detroit Pistons,Utah Jazz,Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Seattle SuperSonics,Boston Celtics,Portland Trail Blazers,Orlando Magic,Miami Heat,Miami Heat,Sacramento Kings,Utah Jazz,Philadelphia 76ers,Portland Trail Blazers,Dallas Mavericks,Houston Rockets,Chicago Bulls,Dallas Mavericks,Houston Rockets,Miami Heat,Dallas Mavericks,Orlando Magic,Memphis Grizzlies,Atlanta Hawks,Dallas Mavericks,Brooklyn Nets,Indiana Pacers,Atlanta Hawks,Milwaukee Bucks,Los Angeles Clippers,Utah Jazz,Los Angeles Lakers,New Orleans Pelicans,Atlanta Hawks,Los Angeles Clippers
